Title,Your Game Title Here
Author,Your Name

Round,Category,Value,Clue,Answer,DailyDouble
1,Category 1,200,,,
1,Category 1,400,,,
1,Category 1,600,,,
1,Category 1,800,,,
1,Category 1,1000,,,
1,Category 2,200,,,
1,Category 2,400,,,
1,Category 2,600,,,
1,Category 2,800,,,
1,Category 2,1000,,,
1,Category 3,200,,,
1,Category 3,400,,,
1,Category 3,600,,,
1,Category 3,800,,,
1,Category 3,1000,,,
1,Category 4,200,,,
1,Category 4,400,,,
1,Category 4,600,,,
1,Category 4,800,,,
1,Category 4,1000,,,
1,Category 5,200,,,
1,Category 5,400,,,
1,Category 5,600,,,
1,Category 5,800,,,
1,Category 5,1000,,,
1,Category 6,200,,,
1,Category 6,400,,,
1,Category 6,600,,,
1,Category 6,800,,,
1,Category 6,1000,,,
2,Category 1,400,,,
2,Category 1,800,,,
2,Category 1,1200,,,
2,Category 1,1600,,,
2,Category 1,2000,,,
2,Category 2,400,,,
2,Category 2,800,,,
2,Category 2,1200,,,
2,Category 2,1600,,,
2,Category 2,2000,,,
2,Category 3,400,,,
2,Category 3,800,,,
2,Category 3,1200,,,
2,Category 3,1600,,,
2,Category 3,2000,,,
2,Category 4,400,,,
2,Category 4,800,,,
2,Category 4,1200,,,
2,Category 4,1600,,,
2,Category 4,2000,,,
2,Category 5,400,,,
2,Category 5,800,,,
2,Category 5,1200,,,
2,Category 5,1600,,,
2,Category 5,2000,,,
2,Category 6,400,,,
2,Category 6,800,,,
2,Category 6,1200,,,
2,Category 6,1600,,,
2,Category 6,2000,,,
Final,Final Category,,,,
