Title,Bernsley's Grab Bag
Author,Bernsley

Round,Category,Value,Clue,Answer,DailyDouble
1,Where Did the NBA Player Go To College,100,Michael Beasley,What is Kansas State?,
1,Where Did the NBA Player Go To College,200,DeMar DeRozan,What is University of Southern California?,
1,Where Did the NBA Player Go To College,300,Michael Porter Jr.,What is Missouri?,
1,Where Did the NBA Player Go To College,400,Ryan Anderson,What is California?,
1,Where Did the NBA Player Go To College,500,Bryce McGowens,What is Nebraska?,
1,Duke Basketball,100,This Duke player became famous for pointing at the floor after hitting a game-winning three against North Carolina in 2012 — a moment that became one of the most replayed shots in Duke–UNC history.,Who is Austin Rivers?,
1,Duke Basketball,200,"With seconds left against Kentucky in the 1992 East Regional Final, this Duke legend caught Grant Hill's full-court pass, faked a defender, and hit the shot that sent Duke to the Final Four.",Who is Christian Laettner?,
1,Duke Basketball,300,"This former Duke star went viral during the 2022 Final Four after hitting a three against North Carolina, then immediately turned toward the Duke bench and celebrated.",Who is Jeremy Roach?,
1,Duke Basketball,400,"Duke fans know the name ""The Brotherhood."" This 2017 No. 1 overall NBA draft pick was part of the Brotherhood and returned to Cameron Indoor in 2025 for his jersey retirement.",Who is Jayson Tatum?,
1,Duke Basketball,500,"In his final college game, this Duke star scored 29 points against North Carolina in the 2022 NCAA Tournament, but the Blue Devils' season ended one game short of the championship game.",Who is Paolo Banchero?,
1,Who Said This,100,I don't jerk off any ore because its immature.,Who is Aidan Diltz?,
1,Who Said This,200,Diltz loves my clit,Who is Jordan Gollinger?,
1,Who Said This,300,Nolan without a beard looks so rapeable,Who is Jordan Gollinger?,
1,Who Said This,400,Ya da berns. Nobody gets to touch you but me.,Who is Nolan Kelly?,
1,Who Said This,500,Dylan you need to eat some pussy that's what you need.,Who is Jordan Gollinger?,
1,2K Covers,100,2011 2K cover,Who is Michael Jordan?,
1,2K Covers,200,2009 2K cover,Who is Kevin Garnett?,
1,2K Covers,300,2010 2K cover,Who is Kobe Bryant?,
1,2K Covers,400,2017 2K cover,Who is Steph Curry?,
1,2K Covers,500,2002 2K cover,Who is Allen Iverson?,
1,Porn Stars,100,"Before becoming famous in the adult-entertainment industry, this performer was a contestant on the reality show The Surreal Life.",Who is Ron Jeremy?,
1,Porn Stars,200,"This performer became one of the most recognizable names in the industry after appearing in The Girlfriend Experience, directed by Steven Soderbergh.",Who is Sasha Grey?,
1,Porn Stars,300,"This performer founded ClubJenna, a company that became one of the most successful adult-entertainment businesses of the 2000s.",Who is Jenna Jameson?,
1,Porn Stars,400,This performer was born in Hungary and became one of the most awarded performers in adult-film history before later pursuing mainstream acting.,Who is Nina Hartley?,
1,Porn Stars,500,"This performer appeared in the mainstream films The Wash and Scary Movie 3 and was also known by the nickname ""The Hedgehog.""",Who is Ron Jeremy?,
