Title,Classic Trivia Night
Author,Sample Game

Round,Category,Value,Clue,Answer,DailyDouble
1,WORLD CAPITALS,200,This city on the Seine is the capital of France.,What is Paris?,
1,WORLD CAPITALS,400,"The capital of Japan, it was once called Edo.",What is Tokyo?,
1,WORLD CAPITALS,600,"This African nation's capital, Cairo, sits along this famous river.",What is the Nile?,
1,WORLD CAPITALS,800,"Canberra, not Sydney, is the capital of this country.",What is Australia?,
1,WORLD CAPITALS,1000,"This South American capital sits at over 11,900 feet, one of the highest in the world.","What is La Paz, Bolivia?",
1,SCIENCE BASICS,200,This is the chemical symbol for gold.,What is Au?,
1,SCIENCE BASICS,400,This force pulls objects toward the center of the Earth.,What is gravity?,
1,SCIENCE BASICS,600,"The powerhouse of the cell, this organelle produces ATP.",What is the mitochondria?,
1,SCIENCE BASICS,800,This planet is the only one in our solar system known to rotate on its side.,What is Uranus?,
1,SCIENCE BASICS,1000,This scientist's theory of relativity introduced E=mc^2.,Who is Albert Einstein?,
1,MOVIE QUOTES,200,"""May the Force be with you"" comes from this space saga.",What is Star Wars?,
1,MOVIE QUOTES,400,"""I'll be back"" was said by this cyborg character.",What is the Terminator?,
1,MOVIE QUOTES,600,"""Here's looking at you, kid"" was said by Humphrey Bogart in this 1942 classic.",What is Casablanca?,TRUE
1,MOVIE QUOTES,800,"""You can't handle the truth!"" is shouted in this Tom Cruise/Jack Nicholson courtroom drama.",What is A Few Good Men?,
1,MOVIE QUOTES,1000,"""Why so serious?"" is a signature line from this Batman villain.",Who is the Joker?,
1,80s MUSIC,200,"This King of Pop released ""Thriller"" in 1982.",Who is Michael Jackson?,
1,80s MUSIC,400,This British-Australian bee-themed group popularized disco into the early 80s.,Who are the Bee Gees?,
1,80s MUSIC,600,"Madonna's 1984 hit about a material girl was, appropriately, called this.","What is ""Material Girl""?",
1,80s MUSIC,800,"This band asked ""Should I Stay or Should I Go"" in 1982.",Who are the Clash?,
1,80s MUSIC,1000,"This a-ha song famously features a comic-book-style music video and the lyric ""Take on me.""","What is ""Take On Me""?",
1,FOOD & DRINK,200,This Italian dish is a flatbread typically topped with tomato sauce and cheese.,What is pizza?,
1,FOOD & DRINK,400,"This fermented soybean paste is a staple of Japanese cooking, often used in soup.",What is miso?,
1,FOOD & DRINK,600,"This spirit is distilled from the blue agave plant, mainly around Jalisco, Mexico.",What is tequila?,
1,FOOD & DRINK,800,This French cooking technique means to cook food quickly in a small amount of fat.,What is sauté?,
1,FOOD & DRINK,1000,"This pungent fungus, hunted with pigs or dogs, can sell for thousands of dollars per pound.",What is the truffle?,
1,U.S. HISTORY,200,"This document, signed in 1776, declared the colonies' independence from Britain.",What is the Declaration of Independence?,
1,U.S. HISTORY,400,This Civil War president delivered the Gettysburg Address.,Who is Abraham Lincoln?,
1,U.S. HISTORY,600,This 1969 mission landed the first humans on the Moon.,What is Apollo 11?,
1,U.S. HISTORY,800,This economic disaster began with the stock market crash of October 1929.,What is the Great Depression?,
1,U.S. HISTORY,1000,"This amendment, ratified in 1920, gave women the right to vote.",What is the 19th Amendment?,
2,GEOGRAPHY,400,This is the longest river in the world.,What is the Nile?,
2,GEOGRAPHY,800,"This mountain range separates Europe from Asia, running through Russia.",What are the Urals?,
2,GEOGRAPHY,1200,This is the smallest country in the world by both area and population.,What is Vatican City?,
2,GEOGRAPHY,1600,"This desert, the largest hot desert in the world, spans much of North Africa.",What is the Sahara?,
2,GEOGRAPHY,2000,This strait separates Asia from North America at its narrowest point.,What is the Bering Strait?,
2,TECH & COMPUTING,400,This company's logo is a bitten fruit.,What is Apple?,
2,TECH & COMPUTING,800,"This programming language, created by Guido van Rossum, is named after a British comedy troupe.",What is Python?,TRUE
2,TECH & COMPUTING,1200,This term describes storing and accessing data over the internet instead of a local hard drive.,What is the cloud?,
2,TECH & COMPUTING,1600,"This protocol, invented by Tim Berners-Lee, underlies data communication for the Web.",What is HTTP?,
2,TECH & COMPUTING,2000,This basic unit of information in computing is either a 0 or a 1.,What is a bit?,
2,CLASSIC LITERATURE,400,"This Jane Austen novel begins, ""It is a truth universally acknowledged...""",What is Pride and Prejudice?,
