Title,Jordan's Jizz
Author,Jordan Gollinger

Round,Category,Value,Clue,Answer,DailyDouble
1,History,200,This major battle was led by Leonidas of Sparta against the Persians,What is Thermopylae?,
1,History,400,This person was the president of the confederacy during the civil war,Who is Jefferson Davis?,
1,History,600,This is widely considered the first written law code,What is Hammurabi's Code?,
1,History,800,This city was the largest Native American settlement in North America pre-colonization,What is Cahokia?,
1,History,1000,This General of Alexander started an empire in Egypt that lasted for hundreds of years,Who is Ptolemy?,
1,Monroe Lore,200,This girl shared a vulgar story with me and Christian Guaracua in the library,Who is Liana Lai?,
1,Monroe Lore,400,Brody told this teacher to shut the fuck up,Who is Mr. Peterson?,
1,Monroe Lore,600,This person brought a knife into middle school,Who is Lex Lendoff?,
1,Monroe Lore,800,Who is the guy with the funky name that Hannah O'Grady used to date,"Who is ""Baked Beans""?",
1,Geography,200,This is the lowest point on the planet,What is the Dead Sea?,
1,Geography,400,"This city resides in one state, but has the name of another state in its name",What is Kansas City?,
1,Geography,600,"This country is the only double-landlocked country in Asia, and one of only two double-landlocked countries in the world",What is Uzbekistan?,
1,Geography,800,This country's capital is the northernmost capital in the world,What is Reykjavik?,
1,Geography,1000,This US territory is the furthest from the continental US,What is Saipan?,
1,Sports,200,This player has the most NFL MVPs of all time with 5,Who is Peyton Manning?,
1,Sports,400,This country won the first ever World Cup,Who is Uruguay?,
1,Sports,600,This soccer player (active) has the most Champions League titles of all time,Who is Luka Modric?,
1,Sports,800,This MLB pitcher threw a perfect game with 27 strikeouts in 1965,Who is Sandy Koufax?,
1,Sports,1000,"After LeBron James, this player has the most 2-point field goals ever made",Who is Kareem Abdul-Jabbar?,
