Title,Mountain Men,,,,
Author,Justin,,,,
,,,,,
Round,Category,Value,Clue,Answer,DailyDouble
1,Retired Numbers,200,New York Knicks #33,WHo is Partrick Ewing?,
1,Retired Numbers,400,New York Giants #10,Who is Eli Manning?,
1,Retired Numbers,600,San Antonio Spurs #21,Who is Tim Duncan?,
1,Retired Numbers,800,New York Yankees #4,Who is Lou Gehrig?,
1,Retired Numbers,1000,Chicago Bears #34,Who is Walter Payton?,
1,Burgers GC Receipts,200,"Who said: ""POV: you’re a second grader and mr bernsley just asked you to come to the custodian closet """,Who is Jordan Gollinger?,
1,Burgers GC Receipts,400,"Who said ""france looks like shit. as an avid watcher of this world cup that’s my opinion""",Who is Aidan Diltz?,
1,Burgers GC Receipts,600,"Who said ""I'm seeing it (The Odyssey) Sunday. Not in IMAX. I just want to see Elliot page peg someone.""",Who is Jordan Gollinger?,
1,Burgers GC Receipts,800,"Who said ""berns took the kids to wally’s today""",Who is Aidan Diltz?,
1,Burgers GC Receipts,1000,"Who said ""POV: it’s 2035 and the wbna has accepted biological males to play. 14 year old biological male Ladarius smith (now Lauren smith) dunks on 5 time wnba champ and she now has 2 mysterious ball shaped bruises on her forehead""",Who is Jordan Gollinger?,
1,Before They Were Famous,200,"Before Euphoria and Spider-Man, starred as Rocky Blue on Disney Channel's Shake It Up",Who is Zendeya?,
1,Before They Were Famous,400,"Before becoming Saul Goodman, this actor wrote for Saturday Night Live and The Ben Stiller Show.",Who is Bob Odenkirk?,
1,Before They Were Famous,600,"Before starring in The Hangover, this actor played Will Tippin on Alias.",Who is Bradley Cooper?,
1,Before They Were Famous,800,"Before becoming LEGEND-ARY, this actor earned his first Golden Globe nomination at just 15 years old for starring opposite Whoopi Goldberg in the 1988 film Clara's Heart.",Who is Neil Patrick Harris?,
1,Before They Were Famous,1000,"Before smuggling drugs into Denver from Mexico, this actor was a writer for SNL.",Who is Jason Sudeikis?,
1,Trump or Kanye?,200,"""I'm not perfect, and... maybe I'm less perfect than some people. But I have certain abilities that are good.""",Who is Trump?,
1,Trump or Kanye?,400,"""Everybody makes mistakes. I make mistakes.""",Who is Trump?,
1,Trump or Kanye?,600,"""I never had the empathy for people who lacked confidence. I had so much of it, I didn't know what it was like to be without it.""",Who is Kanye?,
1,Trump or Kanye?,800,"""I can be a rather humble person if I want to be.""",Who is Trump?,
1,Trump or Kanye?,1000,"""I still think I am the greatest.""",Who is Kanye?,
1,LOTD (Over/Under),200,Statue of Liberty height including the pedestal -- 230 ft,What is Over? (305 ft),
1,LOTD (Over/Under),400,Shaq career 3-pointers made -- 3.5,What is Under? (1),TRUE
1,LOTD (Over/Under),600,Monopoly starting money -- $1250,What is Over? ($1500),
1,LOTD (Over/Under),800,Joey Chestnut record hot dogs/minute -- 6.5,What is Over? (7.6),
1,LOTD (Over/Under),1000,Family Guy Episodes -- 437,What is Under? (~400+),
1,Inventions (Year),200,iPhone 5,What is 2012?,
1,Inventions (Year),400,Nintendo Wii,What is 2006?,TRUE
1,Inventions (Year),600,Cotton gin (+/- 15 years),What is 1793?,
1,Inventions (Year),800,Microwave oven (+/- 5 years),What is 1947?,
1,Inventions (Year),1000,Barbed Wire (+/- 15 years),What is 1874?,
