Title,Old Sport's Jeopardy,,,,
Author,Nolan,,,,
,,,,,
Round,Category,Value,Clue,Answer,DailyDouble
1,People from School,200,This strange dude did a 180 from harassing hasidics to having curls and running security for them,Who is Ryan Digiovanni?,
1,People from School,400,This guy might be a nazi,Who is Sean Casserly?,
1,People from School,600,"Nicest brown dude you'll ever meet, just had a fucked up lip",Who is Enrique Contreras Nava?,
1,People from School,800,This fucking weasel laughed every time you got a question wrong in class and would like weirdly cut you off while walking to class and not make eye contact with you,Who is Justin Tong?,
1,People from School,1000,"Potentially my arch nemesis back in modified soccer, guy was such a faggot, but could run",Who is John Drumgool?,
1,Name the Song Based on the Lyric,200,"This song from oasis' 1995 album what's the story morning glory? Chorus is famously sung in soccer stadiums in England, ""Soooo Sally can wait""",What is Don't Look Back in Anger,
1,Name the Song Based on the Lyric,400,"Another name for the genetic make up of someone, Kenny has ""loyalty, got royalty inside his""",What is DNA,
1,Name the Song Based on the Lyric,600,"This song famous named after an American singer/songwriter from the 80s details a nostalgic feeling about being young when he sings ""When you think about me do you think about 17, do you think about my old jeep, think about the stars in the sky""",What is Springsteen,
1,Name the Song Based on the Lyric,800,"This song by Avicci will bring you right back to your childhood in the basement playing FIFA 15, when you here ""he said one day you'll leave this world behind, so live a life you will remember, my father told me when I was just a child""","what is ""The Nights""",
1,Name the Song Based on the Lyric,1000,"The 1970s song comments on getting caught up in the famous life while in Los Angeles but also the dark side of US culture at the time, saying at the end ""You can check out anytime you like, but you can never leave""",What is Hotel California,
1,Mountains,200,These mountain are natural barrier between the Asian and European continent located in Russia,What are the Ural Mountains,
1,Mountains,400,"When someone has climbed the tallest peaks on each of the continent, it is said that have climb the…","What is the ""7 Summits""",
1,Mountains,600,This peak in North America up until recently held the record for fastest wind speed anywhere on earth,What is Mt. Washington,
1,Mountains,800,Mt. Everest and K2 are well known as the two tallest mountains on earth. Lesser known and only shorter than K2 by 82 ft is the third tallest mountain in the world,What is Kangchenjunga,TRUE
1,Mountains,1000,"This term refers to how large a mountains looks reference to the surround landscape, while Everest is the tallest, Mt McKinley ranks higher in this category",What is prominence,
1,World Cup Trivia,200,These two countries are tied in 2nd for most World Cup wins,What is Germany and Italy,
1,World Cup Trivia,400,Maradona's controversial goal in the 1986 WC quarterfinal v England was nicknamed,"What is the ""hand of god""",
1,World Cup Trivia,600,This country sent the USMNT home in consecutive tournaments (2006 and 2010),What is Ghana,TRUE
1,World Cup Trivia,800,This saying comes from the 2014 World Cup where Robben dove to get a penalty and beat Mexico as a result of it,"What is ""no era penalty""",
1,World Cup Trivia,1000,This is only player to play in three consecutive WC finals,Who is Cafu,
1,Dictators and Terrorists,200,This man killed the most amount of people which resulted in death an estimated 40 to 60 million people,Who is Mao,
1,Dictators and Terrorists,400,This European dictator terrorized the stadiums/pitch of the United States during the 2026 World Cup,Who is Dictator Mbappe,
1,Dictators and Terrorists,600,"This father of soon to be 2 children, while once a tank of a drinker now turns to an absolute liability and grabs cocks after 3 beers","Who is Rey ""Gus"" Flores (when drinking only, love you Rey)",
1,Dictators and Terrorists,800,This African American man deceived many of the his white owners and reeked havoc on their organizations emotionally and financially down in Atlanta Georgia,"Who is Kyle ""bin Laden"" Pitts",
1,Dictators and Terrorists,1000,This guy thinks is ok to stake out there Airbnb house at 10am waiting and making sure guests leave on time,"Who is Colton, psychopath terrorist",
1,NY Icons,200,This NY rapper dominated the rap music from the late 90 through to the late 00s,Who is Jay Z,
1,NY Icons,400,This singer's ass will make you feel brand new,Who is Alicia keys,
1,NY Icons,600,"One of the greatest actor of all time, with the famous line ""say hello to my little friend""",Who is Al Pacino,
1,NY Icons,800,This new star on the pga tour grew up playing sleep hallow golf course and went to Fordham prep highschool,Who is Cameron young,
1,NY Icons,1000,This famous female libtard Supreme Court justice was on for like 100 years,Who is Ruth Bader Ginsburg,
Final,Favorite Pornstar,,This busty blonde middle age women who was skinny in her older videos but later put on some weight was Nolan's favorite pornstar in middle school and early high school,Who's is Sarah Jay,
